3747.77254 17.706  0.023
3749.66424 17.707  0.021
3750.74920 17.774  0.021
3752.75991 17.759  0.020
3754.77766 17.721  0.016
3756.60118 17.744  0.015
3758.77406 17.752  0.023
3761.78647 17.766  0.015
3764.74093 17.678  0.014
3767.60073 17.753  0.016
3770.61844 17.712  0.015
3773.62129 17.776  0.020
3776.62071 17.737  0.016
3779.61027 17.746  0.021
3782.66098 17.736  0.015
3787.58599 17.727  0.015
3792.53776 17.768  0.020
3800.51518 17.745  0.017
3809.52701 17.694  0.023
3822.51281 17.795  0.022
3934.93127 17.766  0.018
3935.92565 17.729  0.015
3936.93045 17.765  0.018
3937.93196 17.755  0.020
3944.92896 17.696  0.018
3945.94201 17.750  0.018
3946.90928 17.724  0.022
3950.93384 17.729  0.015
3959.90160 17.752  0.020
3960.90392 17.728  0.016
3961.91566 17.763  0.021
3963.93785 17.788  0.029
3964.86596 17.744  0.014
3964.90226 17.756  0.014
3965.89471 17.755  0.014
3967.90772 17.739  0.014
3968.89813 17.773  0.018
3969.83274 17.709  0.018
3969.89007 17.746  0.016
3970.85716 17.725  0.015
3975.84244 17.711  0.017
3979.91885 17.792  0.020
3980.91352 17.730  0.015
3981.86482 17.753  0.018
3982.80795 17.729  0.017
3983.91517 17.751  0.015
3986.84673 17.735  0.018
3987.80478 17.654  0.016
3988.86234 17.705  0.017
3989.89186 17.739  0.017
3999.80001 17.739  0.016
4001.86850 17.741  0.014
4007.85035 17.736  0.016
4011.85061 17.714  0.017
4011.88644 17.765  0.017
4018.84215 17.786  0.016
4023.87428 17.763  0.016
4026.78279 17.738  0.013
4029.72403 17.752  0.023
4031.80436 17.754  0.015
4038.71342 17.732  0.016
4041.67461 17.675  0.017
4043.67892 17.703  0.021
4046.77108 17.783  0.021
4048.86059 17.774  0.021
4052.70353 17.700  0.014
4054.69044 17.748  0.018
4056.74751 17.751  0.018
4058.78063 17.740  0.013
4063.67937 17.719  0.015
4066.73666 17.757  0.016
4068.82417 17.745  0.014
4070.66655 17.756  0.017
4073.82602 17.713  0.017
4076.79412 17.777  0.021
4078.85801 17.738  0.025
4079.75648 17.676  0.016
4083.67324 17.692  0.020
4085.73875 17.726  0.015
4092.85720 17.755  0.017
4102.83376 17.716  0.020
4105.69268 17.728  0.015
4109.76585 17.710  0.014
4113.72158 17.721  0.013
4120.75195 17.775  0.015
4122.70841 17.722  0.013
4131.61298 17.715  0.013
4142.64965 17.743  0.020
4156.53631 17.747  0.017
4166.57758 17.752  0.022
